Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
15.20B,"29,834,257",101.96B,$1.00,"161,000",226.84,Buy,236.31,"Aug 1, 2024",AAPL,Apple Inc.,"3,448.91B",226.84,385.60B,3.57%,3.46%,18.01%,+1.99%,+33.56%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings","Masimo CEO shared confidential documents with investor before release, documents show","Keep an eye on Meta, says KKM’s Jeff Kilburg",What to expect from Apple’s ‘It’s Glowtime’ event,"Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Masimo CEO shared confidential documents with investor before release, documents show Keep an eye on Meta, says KKM’s Jeff Kilburg What to expect from Apple’s ‘It’s Glowtime’ event",1,1,0,1,1,1
24.58B,"310,565,961",42.60B,$0.04,"29,600",129.37,Strong Buy,136.74,"Aug 28, 2024",NVDA,NVIDIA Corporation,"3,179.31B",129.37,79.77B,11.25%,6.18%,48.36%,+7.34%,+42.73%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability This semiconductor ETF just had its worst week since 2020. Here’s what’s next Cramer: There isn’t an AI bubble, just intense demand and very little supply Jim Cramer deep dives into the weakness in chipmakers Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street",1,1,0,0,0,1
7.43B,"10,814,122",88.14B,$3.00,"228,000",416.79,Strong Buy,493.97,"Jul 30, 2024",MSFT,Microsoft Corporation,"3,098.02B",416.79,245.12B,0.18%,-4.65%,1.01%,-1.85%,-3.51%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Wells Fargo’s top picks in September include this tech giant and pharma leader,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett Wells Fargo’s top picks in September include this tech giant and pharma leader Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit",1,1,1,1,1,1
12.31B,"11,634,952",87.66B,$0.80,"182,381",167.43,Buy,200.36,"Jul 23, 2024",GOOG,Alphabet Inc.,"2,048.89B",167.43,328.28B,0.15%,-5.46%,5.88%,-5.00%,+6.86%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability YouTube group The Try Guys quickly found success in launching subscription model Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Top 10 people most likely to reach trillionaire status",0,1,0,1,0,0
12.31B,"10,831,461",87.66B,$0.80,"182,502",165.62,Buy,199.27,"Jul 23, 2024",GOOGL,Alphabet Inc.,"2,038.78B",165.62,328.28B,0.18%,-5.56%,5.79%,-5.07%,+6.79%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,"3 ways Wall Street’s largest banks are leveraging AI to increase profitability YouTube group The Try Guys quickly found success in launching subscription model Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings Top 10 people most likely to reach trillionaire status",0,1,0,1,0,0
10.50B,"21,904,019",44.42B,-1,"1,525,000",177.04,Strong Buy,218.51,"Oct 24, 2024",AMZN,"Amazon.com, Inc.","1,858.14B",177.04,604.33B,-0.13%,-5.58%,0.79%,-8.65%,-7.71%,Wells Fargo report: Amazon was 2023′s top apparel and footwear seller,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,Buy levels for 3 industrial stocks that benefit from AI boom and sector megatrends,"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions","Wells Fargo report: Amazon was 2023′s top apparel and footwear seller OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit Google’s second antitrust trial could help shape the future of online ads Buy levels for 3 industrial stocks that benefit from AI boom and sector megatrends AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions",1,1,1,1,1,0
2.53B,"9,547,234",51.43B,$2.00,"67,317",528.00,Strong Buy,557.90,"Jul 31, 2024",META,"Meta Platforms, Inc.","1,335.74B",528.00,149.78B,1.60%,3.14%,15.29%,+8.83%,-2.00%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Keep an eye on Meta, says KKM’s Jeff Kilburg",Top 10 people most likely to reach trillionaire status,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,"Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Keep an eye on Meta, says KKM’s Jeff Kilburg Top 10 people most likely to reach trillionaire status OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit Google’s second antitrust trial could help shape the future of online ads",1,1,1,0,1,1
4.65B,"18,441,771",10.27B,$2.10,"20,000",166.36,Strong Buy,178.79,"Sep 5, 2024",AVGO,Broadcom Inc.,774.39B,166.36,42.62B,4.35%,0.33%,22.27%,-1.56%,+18.09%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Three-Stock Lunch: Broadcom, 3M, & Bowlero","This semiconductor ETF just had its worst week since 2020. Here’s what’s next Cramer: There isn’t an AI bubble, just intense demand and very little supply Jim Cramer deep dives into the weakness in chipmakers Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street Three-Stock Lunch: Broadcom, 3M, & Bowlero",0,0,0,0,1,1
3.19B,"58,057,446",12.39B,-1,"140,473",220.32,Hold,202.12,"Oct 16, 2024",TSLA,"Tesla, Inc.",703.84B,220.32,95.32B,-0.79%,-4.32%,2.91%,-11.34%,+24.77%,"Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here",Oppenheimer’s picks for a Republican or Democratic election sweep,Top 10 people most likely to reach trillionaire status,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","U.S. markets, public companies are a growing target for Russian hackers","Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here Oppenheimer’s picks for a Republican or Democratic election sweep Top 10 people most likely to reach trillionaire status Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more U.S. markets, public companies are a growing target for Russian hackers",0,1,0,0,1,0
443.34M,"1,274,188",7.17B,$4.64,"316,000",879.21,Buy,819.89,"Sep 26, 2024",COST,Costco Wholesale Corporation,389.78B,879.21,253.70B,6.85%,6.74%,22.45%,+8.04%,+24.43%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer recommends buying Costco stock as a port in September’s market storm,"Friday, September 6, 2024: Cramer says this chipmaker is a buy despite its post-earnings drawdown",Cramer’s Mad Dash: Costco,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell Jim Cramer recommends buying Costco stock as a port in September’s market storm Friday, September 6, 2024: Cramer says this chipmaker is a buy despite its post-earnings drawdown Cramer’s Mad Dash: Costco Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more",1,1,1,0,1,1
