Stock,MA20,MA50,MA200
AAPL,3.57%,3.46%,18.01%
NVDA,11.25%,6.18%,48.36%
MSFT,0.18%,-4.65%,1.01%
GOOG,0.15%,-5.46%,5.88%
GOOGL,0.18%,-5.56%,5.79%
AMZN,-0.13%,-5.58%,0.79%
META,1.60%,3.14%,15.29%
AVGO,4.35%,0.33%,22.27%
TSLA,-0.79%,-4.32%,2.91%
COST,6.85%,6.74%,22.45%
ASML,0.68%,-7.04%,0.20%
NFLX,7.02%,5.71%,19.15%
AZN,5.33%,8.76%,21.74%
AMD,5.50%,-2.35%,-4.52%
ADBE,4.70%,4.01%,3.97%
PEP,0.83%,3.49%,3.13%
TMUS,5.95%,10.82%,22.06%
LIN,4.13%,5.96%,8.97%
CSCO,6.42%,7.28%,4.39%
PDD,-29.65%,-29.80%,-28.29%
QCOM,3.81%,-7.14%,4.13%
TXN,6.84%,6.35%,18.80%
AMGN,0.16%,1.25%,10.42%
INTU,-1.71%,-1.85%,0.57%
ISRG,3.58%,7.14%,24.32%
AMAT,-0.95%,-10.41%,0.88%
CMCSA,1.51%,3.29%,-1.93%
ARM,5.22%,-12.13%,17.00%
SNY,5.61%,10.10%,14.98%
HON,2.92%,-0.87%,2.36%
REGN,5.72%,10.10%,24.55%
BKNG,8.20%,2.23%,8.03%
VRTX,-0.02%,-0.25%,11.82%
MU,-1.96%,-16.75%,-5.68%
PANW,5.91%,6.03%,13.80%
ADI,6.36%,2.51%,13.40%
LRCX,-1.41%,-13.60%,-7.39%
ADP,4.33%,9.37%,12.53%
KLAC,4.70%,0.96%,18.04%
SBUX,16.21%,23.43%,12.10%
MELI,8.30%,16.94%,24.94%
GILD,2.48%,6.77%,5.30%
MDLZ,1.86%,5.19%,1.42%
INTC,-8.05%,-28.46%,-46.23%
SNPS,-1.72%,-8.24%,-5.97%
CTAS,4.58%,8.06%,22.38%
EQIX,0.79%,3.68%,2.45%
CDNS,0.28%,-6.87%,-6.74%
CME,3.85%,6.23%,2.61%
ABNB,-3.70%,-15.19%,-19.66%
PYPL,7.60%,14.96%,15.56%
WDAY,17.44%,17.92%,4.13%
CRWD,8.98%,-13.25%,-9.57%
CSX,-0.71%,-0.40%,-2.74%
ORLY,0.42%,4.51%,8.64%
NXPI,2.34%,-3.20%,4.68%
MAR,3.20%,-2.49%,-2.56%
MRVL,7.75%,2.38%,4.74%
CEG,5.48%,-0.26%,17.11%
ROP,2.76%,0.22%,1.75%
FTNT,11.58%,21.16%,21.87%
ADSK,5.33%,5.15%,8.29%
DASH,4.10%,12.69%,12.50%
NTES,-5.93%,-8.57%,-15.29%
COIN,-1.51%,-10.04%,1.68%
AEP,0.27%,5.45%,15.05%
ROST,6.21%,5.35%,9.60%
TTD,8.91%,7.55%,24.33%
CPRT,2.36%,-0.23%,0.78%
PCAR,-0.27%,-5.80%,-9.02%
CHTR,0.61%,10.17%,11.97%
KDP,3.79%,6.99%,12.17%
PAYX,3.15%,5.39%,6.61%
MNST,-1.06%,-3.30%,-11.92%
MPWR,10.41%,12.38%,34.43%
MCHP,1.69%,-6.34%,-7.55%
ODFL,-2.83%,1.04%,-2.41%
KHC,1.94%,6.34%,0.82%
TEAM,7.72%,-0.59%,-14.59%
ACGL,9.98%,11.39%,22.04%
NDAQ,3.56%,10.27%,18.89%
IDXX,0.26%,-0.18%,-5.67%
DDOG,2.27%,-2.98%,-4.15%
JD,-0.29%,-1.75%,-1.99%
EA,1.05%,3.64%,8.92%
FAST,0.76%,2.18%,0.53%
GEHC,1.09%,4.37%,4.98%
VRSK,0.90%,-0.84%,8.65%
CTSH,2.97%,7.03%,6.93%
EXC,0.18%,3.96%,2.69%
CCEP,6.04%,7.54%,14.57%
SMCI,-8.59%,-26.16%,-20.12%
ALNY,5.27%,14.55%,52.99%
BKR,0.08%,1.23%,7.71%
FANG,0.36%,-1.26%,8.56%
LULU,8.26%,-1.63%,-29.23%
XEL,2.92%,8.39%,7.02%
ON,4.17%,4.77%,3.18%
MRNA,-10.47%,-27.96%,-25.59%
CSGP,2.89%,3.20%,-7.18%
ARGX,-0.06%,8.90%,23.66%
CDW,4.05%,1.63%,-0.92%
FER,2.50%,1.76%,21.93%
APP,13.11%,11.42%,41.14%
ZS,8.07%,5.39%,-0.51%
BIDU,-1.57%,-4.59%,-17.18%
BIIB,-0.49%,-6.54%,-10.08%
DXCM,0.23%,-23.72%,-38.07%
MSTR,0.54%,-3.92%,24.82%
FCNCA,-1.73%,5.60%,20.59%
TSCO,4.23%,2.34%,10.16%
FCNCO,,2.34%,10.16%
EBAY,5.14%,8.41%,21.75%
WTW,2.81%,6.52%,10.96%
FITB,3.25%,6.92%,17.40%
ANSS,1.06%,-0.36%,-1.96%
AXON,4.73%,13.76%,26.77%
TTWO,8.40%,6.14%,4.87%
TCOM,9.81%,1.19%,5.63%
NTAP,5.93%,4.50%,27.54%
ICLR,2.01%,1.17%,7.81%
VOD,4.50%,7.13%,10.45%
ERIE,6.61%,20.24%,31.90%
GFS,1.33%,-7.38%,-12.19%
TW,2.91%,7.22%,14.19%
FSLR,7.17%,3.33%,25.38%
ERIC,7.18%,12.98%,28.14%
SBAC,3.95%,9.56%,5.73%
TROW,0.18%,-4.35%,-2.65%
KSPI,2.53%,-1.12%,19.49%
LI,6.80%,7.96%,-25.21%
TER,6.88%,-3.28%,15.69%
WDC,1.87%,-10.07%,-0.41%
STX,1.64%,-1.61%,10.73%
ZM,20.61%,22.24%,12.70%
CHKP,2.53%,8.05%,17.70%
PTC,1.47%,-0.30%,0.12%
HBAN,4.74%,6.42%,11.57%
BNTX,3.38%,3.52%,-6.34%
ILMN,4.46%,11.80%,8.91%
DLTR,-2.30%,-6.97%,-21.80%
CINF,3.08%,8.33%,16.38%
BGNE,10.74%,22.74%,22.96%
WBD,5.65%,6.07%,-9.90%
LINE,0.10%,0.52%,0.52%
FOXA,4.83%,11.16%,26.44%
RYAAY,6.53%,-0.38%,-13.92%
COO,1.24%,3.64%,1.66%
HOOD,11.58%,1.05%,29.62%
STLD,0.80%,-2.51%,-3.69%
HOLX,-2.40%,2.35%,6.44%
PFG,3.38%,-0.32%,-0.05%
FWONK,0.09%,1.72%,11.10%
FOX,4.53%,10.84%,26.72%
SSNC,3.27%,10.02%,18.74%
MDB,-1.30%,-2.53%,-31.05%
ZBRA,3.20%,6.91%,20.84%
ULTA,5.70%,-0.64%,-15.74%
JBHT,2.14%,4.69%,-5.18%
FWONA,-0.62%,1.53%,11.28%
EXPE,10.68%,10.07%,5.89%
NTRS,3.69%,4.10%,7.18%
DKNG,5.78%,-2.58%,-9.76%
ENTG,5.26%,-7.57%,-7.27%
VRSN,1.01%,1.65%,-4.19%
ALGN,5.39%,0.30%,-10.88%
SWKS,1.69%,-0.80%,4.43%
GMAB,2.58%,4.38%,-3.71%
BMRN,2.49%,5.62%,3.69%
LPLA,7.68%,-5.16%,-8.58%
ENPH,9.03%,11.22%,7.80%
OKTA,4.52%,4.31%,7.19%
NWS,2.96%,2.60%,10.35%
MANH,3.82%,6.90%,12.32%
NWSA,2.79%,2.06%,10.20%
BSY,6.47%,5.50%,2.23%
GEN,4.69%,5.47%,14.98%
UTHR,5.01%,7.18%,34.31%
NBIX,2.92%,5.99%,12.76%
AKAM,3.01%,6.71%,-4.11%
NTRA,6.87%,9.15%,38.03%
CPB,1.36%,5.97%,12.49%
WMG,1.62%,-2.65%,-11.25%
LNT,1.52%,6.14%,13.12%
NDSN,5.71%,7.86%,2.32%
CG,-3.27%,-4.42%,-3.60%
UAL,1.22%,-6.83%,-6.51%
RIVN,2.50%,-0.60%,2.14%
LOGI,2.62%,-0.79%,1.49%
VTRS,-0.28%,3.87%,4.28%
GLPI,2.94%,7.29%,10.84%
TRMB,5.62%,2.75%,2.85%
POOL,-0.21%,4.52%,-4.01%
CASY,-0.65%,-0.78%,16.90%
AZPN,5.20%,8.11%,7.31%
INSM,3.30%,6.41%,91.12%
EVRG,-0.15%,4.89%,10.94%
MORN,0.08%,1.79%,6.19%
IBKR,7.44%,5.39%,19.25%
SRPT,1.77%,-2.15%,15.02%
ARCC,2.02%,1.43%,2.90%
NTNX,5.56%,1.48%,-3.51%
MNDY,7.25%,9.69%,23.11%
FLEX,5.32%,5.76%,19.02%
PODD,0.84%,-1.51%,2.97%
Z,13.10%,16.07%,17.37%
REG,1.99%,8.07%,13.75%
GRAB,-0.06%,-4.57%,-2.68%
RPRX,3.87%,4.77%,1.26%
ZG,13.09%,15.77%,16.64%
TTEK,3.60%,9.98%,24.74%
PAA,0.56%,-1.44%,5.20%
LAMR,4.23%,4.01%,9.49%
FTAI,11.22%,16.16%,71.30%
INCY,4.14%,4.12%,11.10%
SIRI,0.79%,-2.35%,-20.38%
HST,4.11%,-0.46%,-7.41%
MEDP,-0.08%,-4.00%,5.56%
CYBR,5.59%,6.10%,16.32%
JKHY,2.99%,3.15%,3.15%
