Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
15.20B,"29,834,257",101.96B,$1.00,"161,000",226.84,Buy,236.31,"Aug 1, 2024"
24.58B,"310,565,961",42.60B,$0.04,"29,600",129.37,Strong Buy,136.74,"Aug 28, 2024"
7.43B,"10,814,122",88.14B,$3.00,"228,000",416.79,Strong Buy,493.97,"Jul 30, 2024"
12.31B,"11,634,952",87.66B,$0.80,"182,381",167.43,Buy,200.36,"Jul 23, 2024"
12.31B,"10,831,461",87.66B,$0.80,"182,502",165.62,Buy,199.27,"Jul 23, 2024"
10.50B,"21,904,019",44.42B,n/a,"1,525,000",177.04,Strong Buy,218.51,"Oct 24, 2024"
2.53B,"9,547,234",51.43B,$2.00,"67,317",528.00,Strong Buy,557.90,"Jul 31, 2024"
4.65B,"18,441,771",10.27B,$2.10,"20,000",166.36,Strong Buy,178.79,"Sep 5, 2024"
3.19B,"58,057,446",12.39B,n/a,"140,473",220.32,Hold,202.12,"Oct 16, 2024"
443.34M,"1,274,188",7.17B,$4.64,"316,000",879.21,Buy,819.89,"Sep 26, 2024"
393.20M,"1,239,512",7.23B,$6.57,"42,416",907.26,Buy,"1,147.80","Oct 16, 2024"
429.16M,"1,302,657",7.09B,n/a,"13,000",686.73,Buy,687.67,"Oct 16, 2024"
1.55B,"2,350,366",6.44B,$1.48,"89,900",86.66,Buy,88.80,"Jul 25, 2024"
1.62B,"49,697,991",1.35B,n/a,"26,000",154.98,Strong Buy,195.93,"Jul 30, 2024"
443.40M,"1,385,944",5.08B,n/a,"29,945",558.30,Buy,599.31,"Sep 12, 2024"
1.37B,"3,437,038",9.52B,$5.42,"318,000",175.87,Buy,186.00,"Oct 8, 2024"
1.17B,"2,467,115",9.46B,$2.60,"67,000",198.58,Strong Buy,196.11,"Jul 31, 2024"
477.50M,"1,106,510",6.40B,$5.56,"66,323",465.74,Buy,487.10,"Oct 24, 2024"
4.03B,"9,792,080",10.32B,$1.60,"84,900",50.74,Buy,56.06,"Aug 14, 2024"
1.39B,"102,084,589",13.60B,n/a,"17,403",139.87,Strong Buy,211.11,"Aug 26, 2024"
1.11B,"6,928,933",8.71B,$3.40,"50,000",173.50,Buy,205.21,"Jul 31, 2024"
913.05M,"5,531,968",5.28B,$5.20,"34,000",209.88,Hold,199.48,"Oct 22, 2024"
537.33M,"1,716,778",3.13B,$9.00,"26,700",328.80,Buy,323.21,"Aug 6, 2024"
279.55M,"1,907,131",2.96B,$4.16,"18,200",619.85,Buy,696.96,"Aug 22, 2024"
355.35M,"1,165,092",2.09B,n/a,"13,676",486.55,Buy,444.14,"Oct 17, 2024"
824.40M,"6,696,957",7.45B,$1.60,"34,000",202.67,Buy,225.15,"Aug 15, 2024"
3.87B,"11,120,225",15.09B,$1.24,"186,000",39.82,Buy,47.02,"Oct 24, 2024"
1.05B,"5,991,731",424.00M,n/a,"7,096",135.63,Buy,130.00,"Jul 31, 2024"
1.25B,"978,653",4.52B,$2.04,"86,088",56.21,Buy,57.50,"Jul 25, 2024"
649.67M,"1,717,257",5.78B,$4.32,"95,000",202.48,Buy,225.00,"Jul 25, 2024"
107.93M,"174,148",4.32B,n/a,"13,450","1,199.12",Buy,"1,091.83","Aug 1, 2024"
33.52M,"217,547",5.03B,$35.00,"23,600","3,830.58",Buy,"4,063.00","Aug 1, 2024"
258.10M,"762,054",-489.90M,n/a,"5,400",481.24,Buy,495.82,"Aug 1, 2024"
1.11B,"24,264,183",-1.54B,$0.46,"43,000",102.85,Strong Buy,157.42,"Sep 25, 2024"
323.80M,"3,144,385",2.58B,n/a,"13,948",350.75,Buy,371.26,"Aug 19, 2024"
