Symbol,Company Name,Market Cap,Stock Price,Revenue
AAPL,Apple Inc.,"3,448.91B",226.84,385.60B
NVDA,NVIDIA Corporation,"3,179.31B",129.37,79.77B
MSFT,Microsoft Corporation,"3,098.02B",416.79,245.12B
GOOG,Alphabet Inc.,"2,048.89B",167.43,328.28B
GOOGL,Alphabet Inc.,"2,038.78B",165.62,328.28B
AMZN,"Amazon.com, Inc.","1,858.14B",177.04,604.33B
META,"Meta Platforms, Inc.","1,335.74B",528.00,149.78B
AVGO,Broadcom Inc.,774.39B,166.36,42.62B
TSLA,"Tesla, Inc.",703.84B,220.32,95.32B
COST,Costco Wholesale Corporation,389.78B,879.21,253.70B
ASML,ASML Holding N.V.,360.37B,907.26,27.26B
NFLX,"Netflix, Inc.",294.72B,686.73,36.30B
AZN,AstraZeneca PLC,268.01B,86.66,49.13B
AMD,"Advanced Micro Devices, Inc.",250.83B,154.98,23.28B
ADBE,Adobe Inc.,247.55B,558.30,20.43B
PEP,"PepsiCo, Inc.",241.57B,175.87,92.05B
TMUS,"T-Mobile US, Inc.",231.70B,198.58,79.10B
LIN,Linde plc,222.39B,465.74,32.82B
CSCO,"Cisco Systems, Inc.",204.42B,50.74,53.80B
PDD,PDD Holdings Inc.,194.25B,139.87,41.11B
QCOM,QUALCOMM Incorporated,193.28B,173.50,37.35B
TXN,Texas Instruments Incorporated,191.63B,209.88,16.09B
AMGN,Amgen Inc.,176.67B,328.80,30.93B
INTU,Intuit Inc.,173.28B,619.85,16.29B
ISRG,"Intuitive Surgical, Inc.",172.90B,486.55,7.57B
AMAT,"Applied Materials, Inc.",167.08B,202.67,26.85B
CMCSA,Comcast Corporation,154.20B,39.82,121.11B
ARM,Arm Holdings plc,142.14B,135.63,3.50B
SNY,Sanofi,140.76B,56.21,50.44B
HON,Honeywell International Inc.,131.55B,202.48,37.33B
REGN,"Regeneron Pharmaceuticals, Inc.",129.43B,"1,199.12",13.49B
BKNG,Booking Holdings Inc.,128.42B,"3,830.58",22.40B
VRTX,Vertex Pharmaceuticals Incorporated,124.21B,481.24,10.34B
MU,"Micron Technology, Inc.",114.04B,102.85,21.37B
PANW,"Palo Alto Networks, Inc.",113.57B,350.75,8.03B
ADI,"Analog Devices, Inc.",113.39B,228.39,9.70B
LRCX,Lam Research Corporation,110.48B,847.37,14.91B
ADP,"Automatic Data Processing, Inc.",109.94B,269.60,19.20B
KLAC,KLA Corporation,109.94B,817.84,9.81B
SBUX,Starbucks Corporation,106.54B,94.02,36.48B
MELI,"MercadoLibre, Inc.",101.41B,"2,000.31",17.11B
GILD,"Gilead Sciences, Inc.",95.52B,76.72,27.81B
MDLZ,"Mondelez International, Inc.",95.15B,71.23,35.98B
INTC,Intel Corporation,87.83B,20.54,55.12B
SNPS,"Synopsys, Inc.",82.86B,539.39,6.48B
CTAS,Cintas Corporation,79.46B,788.50,9.60B
EQIX,"Equinix, Inc.",78.61B,827.96,8.02B
CDNS,"Cadence Design Systems, Inc.",75.00B,273.90,4.16B
CME,CME Group Inc.,74.56B,207.05,5.79B
ABNB,"Airbnb, Inc.",73.90B,116.85,10.51B
PYPL,"PayPal Holdings, Inc.",73.30B,71.70,31.03B
WDAY,"Workday, Inc.",68.96B,259.95,7.86B
CRWD,"CrowdStrike Holdings, Inc.",66.08B,271.54,3.28B
CSX,CSX Corporation,65.32B,33.69,14.63B
ORLY,"O'Reilly Automotive, Inc.",64.77B,"1,116.57",16.28B
NXPI,NXP Semiconductors N.V.,64.35B,252.63,13.11B
MAR,"Marriott International, Inc.",63.42B,225.26,6.47B
MRVL,"Marvell Technology, Inc.",62.18B,71.84,5.35B
CEG,Constellation Energy Corporation,60.97B,194.99,23.54B
ROP,"Roper Technologies, Inc.",58.73B,547.82,6.57B
FTNT,"Fortinet, Inc.",57.16B,74.73,5.54B
ADSK,"Autodesk, Inc.",55.01B,255.26,5.65B
DASH,"DoorDash, Inc.",53.01B,128.81,9.61B
NTES,"NetEase, Inc.",52.90B,82.08,14.69B
COIN,"Coinbase Global, Inc.",52.53B,211.40,4.50B
AEP,"American Electric Power Company, Inc.",52.28B,98.25,19.52B
ROST,"Ross Stores, Inc.",51.77B,155.21,21.09B
TTD,"The Trade Desk, Inc.",51.62B,105.00,2.17B
CPRT,"Copart, Inc.",50.77B,52.76,4.17B
PCAR,PACCAR Inc,50.57B,96.46,35.29B
CHTR,"Charter Communications, Inc.",49.78B,348.73,54.66B
KDP,Keurig Dr Pepper Inc.,48.45B,35.73,15.06B
PAYX,"Paychex, Inc.",46.82B,130.00,5.28B
MNST,Monster Beverage Corporation,45.70B,46.65,7.39B
MPWR,"Monolithic Power Systems, Inc.",45.65B,936.29,1.89B
MCHP,Microchip Technology Incorporated,43.88B,81.79,6.59B
ODFL,"Old Dominion Freight Line, Inc.",43.67B,203.77,5.97B
KHC,The Kraft Heinz Company,43.42B,35.91,26.32B
TEAM,Atlassian Corporation,41.60B,160.00,4.36B
ACGL,Arch Capital Group Ltd.,40.83B,109.02,15.47B
NDAQ,"Nasdaq, Inc.",40.52B,70.35,6.57B
IDXX,"IDEXX Laboratories, Inc.",40.18B,488.13,3.78B
DDOG,"Datadog, Inc.",39.52B,117.23,2.39B
JD,"JD.com, Inc.",39.28B,26.83,152.09B
EA,Electronic Arts Inc.,39.00B,147.62,7.30B
FAST,Fastenal Company,39.00B,68.10,7.42B
GEHC,GE HealthCare Technologies Inc.,38.72B,84.78,19.52B
VRSK,"Verisk Analytics, Inc.",38.19B,268.15,2.78B
CTSH,Cognizant Technology Solutions Corporation,38.01B,76.68,19.27B
EXC,Exelon Corporation,37.81B,37.79,22.75B
CCEP,Coca-Cola Europacific Partners PLC,36.12B,78.73,20.52B
SMCI,"Super Micro Computer, Inc.",35.91B,613.24,14.94B
ALNY,"Alnylam Pharmaceuticals, Inc.",35.00B,272.64,2.34B
BKR,Baker Hughes Company,34.99B,35.22,27.03B
FANG,"Diamondback Energy, Inc.",34.83B,195.22,8.85B
LULU,Lululemon Athletica Inc.,33.57B,268.55,9.83B
XEL,Xcel Energy Inc.,33.52B,60.12,13.78B
ON,ON Semiconductor Corporation,32.71B,76.36,7.80B
MRNA,"Moderna, Inc.",31.69B,82.44,5.05B
CSGP,"CoStar Group, Inc.",31.55B,76.99,2.60B
ARGX,argenx SE,31.10B,516.69,1.66B
CDW,CDW Corporation,30.69B,229.74,20.94B
FER,Ferrovial SE,30.24B,41.75,9.47B
APP,AppLovin Corporation,30.15B,90.20,3.96B
ZS,"Zscaler, Inc.",30.14B,199.43,2.03B
BIDU,"Baidu, Inc.",30.05B,85.70,18.56B
BIIB,Biogen Inc.,29.86B,205.00,9.67B
DXCM,"DexCom, Inc.",29.68B,74.07,3.93B
MSTR,MicroStrategy Incorporated,29.15B,150.01,480.63M
FCNCA,"First Citizens BancShares, Inc.",29.15B,"2,015.05",9.44B
TSCO,Tractor Supply Company,29.04B,269.18,14.71B
FCNCO,"First Citizens BancShares, Inc.",28.94B,23.60,9.44B
EBAY,eBay Inc.,28.79B,58.88,10.19B
WTW,Willis Towers Watson Public Limited Company,28.58B,281.46,9.69B
FITB,Fifth Third Bancorp,28.48B,42.12,8.13B
ANSS,"ANSYS, Inc.",28.27B,323.45,2.32B
AXON,"Axon Enterprise, Inc.",28.02B,370.70,1.81B
TTWO,"Take-Two Interactive Software, Inc.",27.94B,159.39,5.40B
TCOM,Trip.com Group Limited,27.46B,42.18,6.54B
NTAP,"NetApp, Inc.",27.40B,133.12,6.27B
ICLR,ICON Public Limited Company,26.85B,324.16,8.33B
VOD,Vodafone Group Public Limited Company,25.83B,9.72,39.61B
ERIE,Erie Indemnity Company,25.58B,489.24,3.55B
GFS,GlobalFoundries Inc.,25.42B,46.07,6.89B
TW,Tradeweb Markets Inc.,25.04B,117.45,1.51B
FSLR,"First Solar, Inc.",24.73B,231.07,3.76B
ERIC,Telefonaktiebolaget LM Ericsson (publ),24.64B,7.40,23.54B
SBAC,SBA Communications Corporation,24.43B,227.28,2.68B
TROW,"T. Rowe Price Group, Inc.",24.40B,109.62,6.80B
KSPI,Joint Stock Company Kaspi.kz,24.24B,127.58,4.70B
LI,Li Auto Inc.,22.51B,21.22,18.10B
TER,"Teradyne, Inc.",22.18B,135.94,2.70B
WDC,Western Digital Corporation,22.10B,64.35,13.00B
STX,Seagate Technology Holdings plc,21.95B,104.41,6.55B
ZM,"Zoom Video Communications, Inc.",21.59B,70.14,4.59B
CHKP,Check Point Software Technologies Ltd.,21.49B,190.31,2.49B
PTC,PTC Inc.,21.30B,177.31,2.22B
HBAN,Huntington Bancshares Incorporated,21.25B,14.63,6.71B
BNTX,BioNTech SE,20.97B,88.19,2.88B
ILMN,"Illumina, Inc.",20.93B,131.39,4.43B
DLTR,"Dollar Tree, Inc.",20.85B,97.00,30.91B
CINF,Cincinnati Financial Corporation,20.75B,132.81,10.65B
BGNE,"BeiGene, Ltd.",20.57B,193.82,3.10B
WBD,"Warner Bros. Discovery, Inc.",19.74B,8.05,39.93B
LINE,"Lineage, Inc.",19.54B,85.82,5.33B
FOXA,Fox Corporation,18.87B,41.01,13.98B
RYAAY,Ryanair Holdings plc,18.86B,105.74,14.38B
COO,"The Cooper Companies, Inc.",18.84B,94.62,3.73B
HOOD,"Robinhood Markets, Inc.",18.68B,21.12,2.24B
STLD,"Steel Dynamics, Inc.",18.65B,120.88,18.15B
HOLX,"Hologic, Inc.",18.64B,80.25,3.99B
PFG,"Principal Financial Group, Inc.",18.41B,79.48,15.65B
FWONK,Formula One Group,18.22B,77.50,3.69B
FOX,Fox Corporation,18.20B,38.14,13.98B
SSNC,"SS&C Technologies Holdings, Inc.",18.17B,74.03,5.66B
MDB,"MongoDB, Inc.",18.16B,247.61,1.77B
ZBRA,Zebra Technologies Corporation,18.14B,351.62,4.36B
ULTA,"Ulta Beauty, Inc.",18.07B,378.65,11.30B
JBHT,"J.B. Hunt Transport Services, Inc.",18.05B,176.97,12.34B
FWONA,Formula One Group,18.02B,70.44,3.69B
EXPE,"Expedia Group, Inc.",17.98B,138.13,13.26B
NTRS,Northern Trust Corporation,17.89B,88.70,7.61B
DKNG,DraftKings Inc.,17.66B,36.37,4.30B
ENTG,"Entegris, Inc.",17.56B,116.32,3.28B
VRSN,"VeriSign, Inc.",17.50B,179.32,1.53B
ALGN,"Align Technology, Inc.",17.48B,233.97,3.94B
SWKS,"Skyworks Solutions, Inc.",17.44B,109.21,4.37B
GMAB,Genmab A/S,17.36B,27.34,2.73B
BMRN,BioMarin Pharmaceutical Inc.,17.14B,90.02,2.59B
LPLA,LPL Financial Holdings Inc.,16.73B,223.82,10.93B
ENPH,"Enphase Energy, Inc.",16.66B,123.00,1.42B
OKTA,"Okta, Inc.",16.66B,99.01,2.36B
NWS,News Corporation,16.19B,29.20,10.09B
MANH,"Manhattan Associates, Inc.",16.08B,262.51,996.57M
NWSA,News Corporation,15.99B,28.14,10.09B
BSY,"Bentley Systems, Incorporated",15.92B,50.22,1.29B
GEN,Gen Digital Inc.,15.83B,25.72,3.83B
UTHR,United Therapeutics Corporation,15.48B,348.03,2.62B
NBIX,"Neurocrine Biosciences, Inc.",15.43B,152.81,2.12B
AKAM,"Akamai Technologies, Inc.",15.43B,101.83,3.93B
NTRA,"Natera, Inc.",15.18B,122.71,1.36B
CPB,Campbell Soup Company,15.17B,50.80,9.41B
WMG,Warner Music Group Corp.,15.07B,29.10,6.38B
LNT,Alliant Energy Corporation,14.88B,58.03,3.96B
NDSN,Nordson Corporation,14.72B,257.40,2.66B
CG,The Carlyle Group Inc.,14.34B,40.25,2.78B
UAL,"United Airlines Holdings, Inc.",14.25B,43.32,55.64B
RIVN,"Rivian Automotive, Inc.",14.08B,13.96,5.01B
LOGI,Logitech International S.A.,14.05B,92.26,4.41B
VTRS,Viatris Inc.,14.04B,11.76,15.24B
GLPI,"Gaming and Leisure Properties, Inc.",13.92B,50.74,1.49B
TRMB,Trimble Inc.,13.92B,56.99,3.71B
POOL,Pool Corporation,13.72B,358.52,5.37B
CASY,"Casey's General Stores, Inc.",13.71B,369.40,14.86B
AZPN,"Aspen Technology, Inc.",13.68B,216.23,1.13B
INSM,Insmed Incorporated,13.55B,78.84,328.61M
EVRG,"Evergy, Inc.",13.46B,58.53,5.64B
MORN,"Morningstar, Inc.",13.44B,313.83,2.17B
IBKR,"Interactive Brokers Group, Inc.",13.43B,123.40,4.77B
SRPT,"Sarepta Therapeutics, Inc.",13.40B,140.56,1.50B
ARCC,Ares Capital Corporation,13.19B,20.92,2.82B
NTNX,"Nutanix, Inc.",13.16B,53.35,2.10B
MNDY,monday.com Ltd.,13.13B,263.42,844.78M
FLEX,Flex Ltd.,13.08B,32.93,25.84B
PODD,Insulet Corporation,12.96B,185.04,1.87B
Z,"Zillow Group, Inc.",12.93B,56.35,2.07B
REG,Regency Centers Corporation,12.93B,71.42,1.46B
GRAB,Grab Holdings Limited,12.79B,3.23,2.58B
RPRX,Royalty Pharma plc,12.63B,28.19,2.24B
ZG,"Zillow Group, Inc.",12.62B,54.53,2.07B
TTEK,"Tetra Tech, Inc.",12.62B,235.71,4.23B
PAA,"Plains All American Pipeline, L.P.",12.51B,17.85,49.70B
LAMR,Lamar Advertising Company,12.50B,122.19,2.16B
FTAI,FTAI Aviation Ltd.,12.44B,121.74,1.37B
INCY,Incyte Corporation,12.35B,64.14,3.86B
SIRI,Sirius XM Holdings Inc.,12.32B,3.20,8.90B
HST,"Host Hotels & Resorts, Inc.",12.23B,17.41,5.48B
MEDP,"Medpace Holdings, Inc.",12.09B,390.91,2.03B
CYBR,CyberArk Software Ltd.,12.08B,279.88,860.60M
JKHY,"Jack Henry & Associates, Inc.",12.00B,164.63,2.19B
CHRW,"C.H. Robinson Worldwide, Inc.",11.94B,101.79,17.46B
WING,Wingstop Inc.,11.84B,403.89,545.65M
COKE,"Coca-Cola Consolidated, Inc.",11.83B,"1,350.00",6.73B
DOCU,"DocuSign, Inc.",11.76B,57.44,2.81B
EWBC,"East West Bancorp, Inc.",11.74B,84.69,2.36B
MBLY,Mobileye Global Inc.,11.68B,14.40,1.85B
FFIV,"F5, Inc.",11.60B,199.01,2.78B
TECH,Bio-Techne Corporation,11.47B,72.29,1.16B
TXRH,"Texas Roadhouse, Inc.",11.24B,168.59,4.95B
NICE,NICE Ltd.,11.24B,178.26,2.55B
LKQ,LKQ Corporation,11.22B,42.63,14.48B
LECO,"Lincoln Electric Holdings, Inc.",11.22B,197.98,4.09B
EXAS,Exact Sciences Corporation,11.03B,59.70,2.61B
MMYT,MakeMyTrip Limited,10.98B,100.00,840.31M
QRVO,"Qorvo, Inc.",10.96B,115.52,4.01B
SAIA,"Saia, Inc.",10.67B,402.33,3.10B
PPC,Pilgrim's Pride Corporation,10.59B,44.67,17.81B
LEGN,Legend Biotech Corporation,10.53B,57.50,455.99M
APA,APA Corporation,10.53B,28.47,8.91B
XP,XP Inc.,10.50B,19.60,2.84B
CHDN,Churchill Downs Incorporated,10.15B,138.24,2.62B
TEM,"Tempus AI, Inc",10.02B,64.95,595.57M
ROKU,"Roku, Inc.",10.00B,69.15,3.75B
SFM,"Sprouts Farmers Market, Inc.",9.80B,97.87,7.19B
DOX,Amdocs Limited,9.76B,85.43,4.98B
LCID,"Lucid Group, Inc.",9.74B,4.20,668.29M
AFRM,"Affirm Holdings, Inc.",9.73B,31.46,2.11B
BRKR,Bruker Corporation,9.72B,64.20,3.12B
WWD,"Woodward, Inc.",9.70B,162.52,3.25B
CHK,Chesapeake Energy Corporation,9.64B,73.44,4.10B
MTCH,"Match Group, Inc.",9.62B,37.32,3.47B
LNW,"Light & Wonder, Inc.",9.59B,108.14,3.08B
HAS,"Hasbro, Inc.",9.48B,68.02,4.54B
SMMT,Summit Therapeutics Inc.,9.48B,13.08,-
WIX,Wix.com Ltd.,9.40B,167.97,1.65B
CHRD,Chord Energy Corporation,9.28B,150.00,4.15B
RGLD,"Royal Gold, Inc.",9.28B,141.15,607.22M
DUOL,"Duolingo, Inc.",9.26B,212.57,634.49M
CELH,"Celsius Holdings, Inc.",9.22B,39.54,1.49B
OLED,Universal Display Corporation,9.21B,194.12,623.16M
CART,Maplebear Inc.,9.15B,35.60,3.21B
HTHT,H World Group Limited,9.11B,29.08,3.21B
ESLT,Elbit Systems Ltd.,9.07B,199.00,6.31B
HSIC,"Henry Schein, Inc.",8.97B,70.82,12.49B
MKTX,MarketAxess Holdings Inc.,8.90B,235.82,777.51M
WBA,"Walgreens Boots Alliance, Inc.",8.89B,10.30,145.53B
LBRDK,Liberty Broadband Corporation,8.88B,62.13,981.00M
PCVX,"Vaxcyte, Inc.",8.86B,79.35,-
LBRDA,Liberty Broadband Corporation,8.85B,60.87,981.00M
ROIV,Roivant Sciences Ltd.,8.79B,11.88,158.30M
SEIC,SEI Investments Company,8.75B,67.37,1.99B
PCTY,Paylocity Holding Corporation,8.69B,156.43,1.40B
FUTU,Futu Holdings Limited,8.68B,62.92,1.22B
