Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,P/E Ratio,Dividend Yield (%),Market Cap to Revenue Ratio,Earnings Per Share (EPS),Revenue Per Employee,Target Price Difference (%)
15.2,"29,834,257",101.96,1.0,161000.0,226.84,Buy,236.31,"Aug 1, 2024",AAPL,,226.84,385.6,3.57%,3.46%,18.01%,+1.99%,+33.56%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings","Masimo CEO shared confidential documents with investor before release, documents show","Keep an eye on Meta, says KKM’s Jeff Kilburg",What to expect from Apple’s ‘It’s Glowtime’ event,33.816869360533545,0.4408393581378945,,6.707894736842105,0.002395031055900621,4.1747487215658605
24.58,"310,565,961",42.6,0.04,29600.0,129.37,Strong Buy,136.74,"Aug 28, 2024",NVDA,,129.37,79.77,11.25%,6.18%,48.36%,+7.34%,+42.73%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,74.64588262910797,0.03091906933601299,,1.7331163547599677,0.0026949324324324325,5.696838525160397
7.43,"10,814,122",88.14,3.0,228000.0,416.79,Strong Buy,493.97,"Jul 30, 2024",MSFT,,416.79,245.12,0.18%,-4.65%,1.01%,-1.85%,-3.51%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,"Bill Gates wants to work another 20 to 30 years, like his friend Warren Buffett",Wells Fargo’s top picks in September include this tech giant and pharma leader,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,35.134441797140916,0.7197869430648528,,11.86271870794078,0.0010750877192982457,18.517718755248445
12.31,"11,634,952",87.66,0.8,182381.0,167.43,Buy,200.36,"Jul 23, 2024",GOOG,,167.43,328.28,0.15%,-5.46%,5.88%,-5.00%,+6.86%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,23.512015742642028,0.4778116227677238,,7.121039805036555,0.0017999681984417234,19.667920922176435
12.31,"10,831,461",87.66,0.8,182502.0,165.62,Buy,199.27,"Jul 23, 2024",GOOGL,,165.62,328.28,0.18%,-5.56%,5.79%,-5.07%,+6.79%,3 ways Wall Street’s largest banks are leveraging AI to increase profitability,YouTube group The Try Guys quickly found success in launching subscription model,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Cramer’s week ahead: iPhone 16 launch, consumer price index and Oracle earnings",Top 10 people most likely to reach trillionaire status,23.25783937942049,0.4830334500664171,,7.121039805036555,0.00179877480794731,20.31759449341867
10.5,"21,904,019",44.42,,1525000.0,177.04,Strong Buy,218.51,"Oct 24, 2024",AMZN,,177.04,604.33,-0.13%,-5.58%,0.79%,-8.65%,-7.71%,Wells Fargo report: Amazon was 2023′s top apparel and footwear seller,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,Buy levels for 3 industrial stocks that benefit from AI boom and sector megatrends,"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions",41.84871679423683,,,4.230476190476191,0.0003962819672131148,23.424084952553095
2.53,"9,547,234",51.43,2.0,67317.0,528.0,Strong Buy,557.9,"Jul 31, 2024",META,,528.0,149.78,1.60%,3.14%,15.29%,+8.83%,-2.00%,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Keep an eye on Meta, says KKM’s Jeff Kilburg",Top 10 people most likely to reach trillionaire status,OpenAI gives artists access to unreleased tools like Sora for New York gallery exhibit,Google’s second antitrust trial could help shape the future of online ads,25.97394516818977,0.3787878787878788,,20.328063241106722,0.0022249951720962014,5.662878787878784
4.65,"18,441,771",10.27,2.1,20000.0,166.36,Strong Buy,178.79,"Sep 5, 2024",AVGO,774.39,166.36,42.62,4.35%,0.33%,22.27%,-1.56%,+18.09%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Cramer: There isn’t an AI bubble, just intense demand and very little supply",Jim Cramer deep dives into the weakness in chipmakers,Cramer pushes back against a ‘new and negative AI narrative’ on Wall Street,"Three-Stock Lunch: Broadcom, 3M, & Bowlero",75.32366114897762,1.262322673719644,18.16963866729235,2.2086021505376343,0.002131,7.4717480163500705
3.19,"58,057,446",12.39,,140473.0,220.32,Hold,202.12,"Oct 16, 2024",TSLA,703.84,220.32,95.32,-0.79%,-4.32%,2.91%,-11.34%,+24.77%,"Tesla, GM, Rivian and Ford: The $100,000 electric truck market is here",Oppenheimer’s picks for a Republican or Democratic election sweep,Top 10 people most likely to reach trillionaire status,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more","U.S. markets, public companies are a growing target for Russian hackers",56.7248426150121,,7.383969785984054,3.8840125391849534,0.0006785645640087418,-8.260711692084238
,"1,274,188",7.17,4.64,316000.0,879.21,Buy,819.89,"Sep 26, 2024",COST,389.78,879.21,253.7,6.85%,6.74%,22.45%,+8.04%,+24.43%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer recommends buying Costco stock as a port in September’s market storm,"Friday, September 6, 2024: Cramer says this chipmaker is a buy despite its post-earnings drawdown",Cramer’s Mad Dash: Costco,"Here are Friday’s biggest analyst calls: Nvidia, Nio, Apple, Tesla and more",,0.527746499698593,1.5363815530153724,,0.0008028481012658228,-6.746966026319087
